year,month,volume_pre,volume_reg
2009,1,2280.2229046997377,3105.9372493309397
2009,2,2370.9887124230436,3233.2191251358195
2009,3,2552.1702543333868,3474.007001846747
2009,4,2663.457442683758,3626.5630594234835
2009,5,2673.846730831972,3640.011885742257
2009,6,2760.4049359406654,3765.215582366819
2009,7,2818.208594824762,3844.5316063052855
2009,8,2804.617167820643,3825.467653544343
2009,9,2868.65824261355,3910.126875249023
2009,10,2941.8381846354523,4009.3541827597414
2009,11,2877.765533097528,3923.29343850429
2009,12,2997.954558390581,4086.960029522409
2010,1,2965.1521473786793,4038.6141704593438
2010,2,3218.8146537146968,4383.8218104695225
2010,3,3261.8939751958237,4442.109946050916
2010,4,3459.686081557302,4703.865412283937
2010,5,3496.761012205041,4757.022920960138
2010,6,3543.529700790041,4817.574934795766
2010,7,3453.343213237694,4688.845136957928
2010,8,3451.9562263535663,4687.8180481572035
2010,9,3204.2530674949485,4339.442242545344
2010,10,3020.2315838056707,4092.968326299592
2010,11,2833.9575454851724,3843.474458625327
2010,12,2583.7523704192886,3500.0175792505893
2011,1,2415.7100850089905,3265.3543266470374
2011,2,2351.852633567183,3179.492671091911
2011,3,2333.1148349325103,3157.8659512278387
2011,4,2300.8088159220697,3114.5394330701997
2011,5,2317.721182156139,3135.154738271377
2011,6,2416.807310853882,3270.9275008555637
2011,7,2402.774841137126,3249.4683286956347
